dimension,gemma3:1b,gemma3:4b,gemma3:12b,gemma3:27b,claude-sonnet-4,gemini-2.5-flash,gpt-5-nano,gpt-oss-20b
MoRA_EARTHQUAKE,0.2716363636363636,0.7265454545454545,0.8116363636363637,0.8378181818181818,0.8618181818181818,0.9054545454545454,0.9854545454545455,0.9854545454545455
MoRA_FLOOD,0.27761194029850744,0.7970149253731343,0.8507462686567164,0.873134328358209,0.900497512437811,0.8905472636815921,0.9402985074626866,0.9402985074626866
MoRA_HURRICANE,0.33717579250720464,0.7962536023054755,0.8610951008645533,0.8481268011527378,0.9106628242074928,0.9048991354466859,0.9193083573487032,0.9193083573487032
MoRA_LANDSLIDE,0.28739495798319326,0.8432773109243697,0.8773109243697479,0.8697478991596639,0.9285714285714286,0.9411764705882353,0.9705882352941176,0.9705882352941176
MoRA_STORM,0.3290625,0.7875,0.8521875,0.8128124999999999,0.915625,0.946875,0.940625,0.940625
MoRA_TSUNAMI,0.1956521739130435,0.7434782608695653,0.8608695652173913,0.8478260869565217,0.927536231884058,0.8985507246376812,0.9710144927536232,0.9710144927536232
MoRA_WILDFIRE,0.21038961038961038,0.7363636363636364,0.8649350649350649,0.8766233766233766,0.8701298701298701,0.935064935064935,0.974025974025974,0.974025974025974
RAG_EARTHQUAKE,0.32072727272727275,0.7265454545454545,0.7527272727272727,0.7134545454545455,0.7527272727272727,0.7527272727272727,0.7527272727272727,0.7527272727272727
RAG_FLOOD,0.2462686567164179,0.8104477611940298,0.8283582089552239,0.8238805970149254,0.8855721393034826,0.8855721393034826,0.8855721393034826,0.8407960199004975
RAG_HURRICANE,0.33458213256484154,0.7780979827089337,0.8195965417867436,0.8040345821325648,0.8386167146974063,0.8876080691642652,0.8789625360230547,0.8270893371757925
RAG_LANDSLIDE,0.3327731092436975,0.8357142857142857,0.8735294117647059,0.8659663865546219,0.8865546218487395,0.8277310924369747,0.8991596638655462,0.907563025210084
RAG_STORM,0.343125,0.79875,0.8465625000000001,0.8325,0.85625,0.840625,0.859375,0.865625
RAG_TSUNAMI,0.2739130434782609,0.8739130434782608,0.8478260869565217,0.8478260869565217,0.855072463768116,0.7971014492753623,0.855072463768116,0.927536231884058
RAG_WILDFIRE,0.2688311688311688,0.7129870129870131,0.8532467532467533,0.8532467532467533,0.8441558441558441,0.8051948051948052,0.8701298701298701,0.8441558441558441
Zero_shot_EARTHQUAKE,0.3979591836734694,0.7408163265306122,0.6520408163265307,0.7255102040816327,0.5952380952380952,0.7963636363636364,0.6690909090909091,0.7054545454545454
Zero_shot_FLOOD,0.48518518518518516,0.7518518518518519,0.6777777777777778,0.7222222222222222,0.3991769547325103,0.7064676616915423,0.5970149253731343,0.7424892703862661
Zero_shot_HURRICANE,0.4322834645669291,0.7299212598425197,0.6448818897637795,0.7086614173228347,0.5748031496062992,0.7406340057636888,0.6138328530259366,0.622478386167147
Zero_shot_LANDSLIDE,0.5093023255813953,0.763953488372093,0.6906976744186047,0.7430232558139536,0.49224806201550386,0.6974789915966386,0.6428571428571429,0.8282442748091603
Zero_shot_STORM,0.5241477272727273,0.8053977272727273,0.7312500000000001,0.7849431818181819,0.4005681818181818,0.7375,0.525,0.5261538461538462
Zero_shot_TSUNAMI,0.2927710843373494,0.7373493975903614,0.6939759036144579,0.6939759036144579,0.46987951807228917,0.7246376811594203,0.6086956521739131,0.5833333333333334
Zero_shot_WILDFIRE,0.41470588235294115,0.7588235294117647,0.661764705882353,0.7058823529411765,0.4019607843137255,0.6363636363636364,0.5714285714285714,0.40229885057471265
